Order_ID,Order_Date,Region,Shipping_Mode,Product_Category,Customer_Segment,Shipment_Volume,Distance_km,Weather_Risk,Traffic_Index,Warehouse_Load,Scheduled_Days,Actual_Delivery_Days,Delivery_Delay_Days,Late_Delivery,Transport_Cost,Order_Value,Inventory_Units,Stockout
ORD-100017,2025-01-05 03:04:26.577718479,North,Same Day,Electronics,Retail,16,632,Medium,50.3,58.1,2.8,4.2,1.4,1,146.96,1286.58,504,0
ORD-100018,2025-01-05 08:54:06.964643095,West,Standard Class,Clothing,Wholesale,2,1348,Low,61.3,42.4,5.8,7.4,1.6,1,164.58,232.71,556,0
ORD-100019,2025-01-05 14:43:47.351567711,East,Standard Class,Electronics,Retail,18,380,Low,63.8,72.7,3.9,5.0,1.1,1,126.7,1566.75,70,0
ORD-100020,2025-01-05 20:33:27.738492328,East,Standard Class,Clothing,Retail,8,1453,Low,45.6,62.4,6.3,7.8,1.5,1,191.6,448.41,284,0
ORD-100021,2025-01-06 02:23:08.125416944,South,Second Class,Sports,Retail,16,85,Low,88.9,54.5,2.9,3.6,0.7,1,88.38,1309.31,496,0
ORD-100022,2025-01-06 08:12:48.512341561,West,First Class,Clothing,Wholesale,20,413,Low,62.6,60.8,3.2,3.5,0.3,1,113.39,1587.55,349,0
ORD-100023,2025-01-06 14:02:28.899266177,West,First Class,Clothing,Corporate,15,895,Low,64.6,83.0,4.5,5.7,1.2,1,170.81,1329.53,190,0
ORD-100024,2025-01-06 19:52:09.286190793,West,Second Class,Clothing,Wholesale,19,899,Low,86.7,48.9,4.5,5.9,1.4,1,181.38,891.73,500,0
ORD-100025,2025-01-07 01:41:49.673115410,North,Standard Class,Electronics,Retail,1,1367,Low,46.9,51.5,5.7,6.3,0.6,1,153.1,90.6,192,0
ORD-100026,2025-01-07 07:31:30.060040026,South,Standard Class,Electronics,Wholesale,4,1441,Medium,53.4,85.0,5.6,7.9,2.3,1,179.6,384.72,584,0
ORD-100027,2025-01-07 13:21:10.446964643,North,Standard Class,Home & Kitchen,Wholesale,13,1023,Medium,32.4,66.2,5.3,6.8,1.5,1,176.04,825.85,69,0
ORD-100028,2025-01-07 19:10:50.833889259,North,Standard Class,Sports,Retail,11,997,Low,51.9,75.7,4.8,5.5,0.7,1,169.34,1072.25,426,0
ORD-100029,2025-01-08 01:00:31.220813875,East,Standard Class,Clothing,Retail,3,489,Low,28.2,71.4,4.2,4.5,0.3,1,81.27,225.9,17,1
ORD-100030,2025-01-08 06:50:11.607738492,East,Standard Class,Home & Kitchen,Wholesale,15,1213,Low,68.5,64.4,5.3,6.6,1.3,1,168.96,875.94,549,0
ORD-100031,2025-01-08 12:39:51.994663108,West,Standard Class,Electronics,Retail,2,972,Low,62.6,59.4,4.9,6.7,1.8,1,114.73,223.88,219,0
ORD-100032,2025-01-08 18:29:32.381587725,South,Second Class,Electronics,Wholesale,20,55,Low,50.0,78.3,2.6,3.1,0.5,1,95.93,1450.07,22,1
ORD-100033,2025-01-09 00:19:12.768512341,South,Second Class,Electronics,Retail,4,1252,Low,53.2,83.6,5.3,7.0,1.7,1,176.15,237.45,502,0
ORD-100034,2025-01-09 06:08:53.155436958,South,Standard Class,Home & Kitchen,Retail,9,552,Low,68.7,82.3,4.2,5.2,1.0,1,105.72,1023.09,580,0
ORD-100035,2025-01-09 11:58:33.542361574,North,Standard Class,Sports,Retail,17,724,High,34.6,46.0,4.3,6.0,1.7,1,139.44,1314.01,552,0
ORD-100036,2025-01-09 17:48:13.929286190,North,First Class,Sports,Wholesale,11,739,Low,58.7,85.9,4.0,5.3,1.3,1,127.16,1363.42,296,0
ORD-100037,2025-01-09 23:37:54.316210807,South,Second Class,Electronics,Corporate,15,1234,Medium,67.6,59.3,5.0,6.9,1.9,1,182.12,837.62,46,0
ORD-100038,2025-01-10 05:27:34.703135423,North,First Class,Electronics,Retail,15,416,Low,22.9,52.9,3.2,3.3,0.1,0,113.47,1786.28,144,0
ORD-100039,2025-01-10 11:17:15.090060040,East,Standard Class,Sports,Retail,19,600,Low,67.3,62.3,4.4,5.0,0.6,1,130.02,2155.72,28,1
ORD-100040,2025-01-10 17:06:55.476984656,South,First Class,Clothing,Retail,10,77,High,24.9,78.3,2.6,4.5,1.9,1,84.55,451.03,36,0
ORD-100041,2025-01-10 22:56:35.863909272,West,Standard Class,Home & Kitchen,Retail,20,536,Low,52.9,73.6,3.8,4.9,1.1,1,139.17,1726.27,103,0
ORD-100042,2025-01-11 04:46:16.250833889,East,Standard Class,Home & Kitchen,Corporate,11,150,Low,34.1,60.9,3.6,4.1,0.5,1,111.29,1072.6,342,0
ORD-100043,2025-01-11 10:35:56.637758505,South,Standard Class,Clothing,Retail,18,883,High,80.8,78.4,4.8,8.5,3.7,1,154.27,1503.76,462,0
ORD-100044,2025-01-11 16:25:37.024683122,West,Standard Class,Sports,Retail,15,1342,Low,34.2,67.2,5.6,7.3,1.7,1,212.75,1121.38,355,0
ORD-100045,2025-01-11 22:15:17.411607738,West,Standard Class,Home & Kitchen,Retail,3,708,Low,25.3,55.8,4.5,4.3,-0.2,0,123.01,395.24,130,0
ORD-100046,2025-01-12 04:04:57.798532354,South,Standard Class,Clothing,Corporate,13,1370,Low,57.4,53.7,5.4,6.3,0.9,1,188.5,1361.61,365,0
ORD-100047,2025-01-12 09:54:38.185456971,South,First Class,Sports,Retail,18,1467,Low,47.6,71.6,5.1,5.9,0.8,1,209.27,2325.65,146,0
ORD-100048,2025-01-12 15:44:18.572381587,East,Standard Class,Home & Kitchen,Wholesale,3,99,Low,27.9,63.7,3.1,3.4,0.3,1,43.81,349.15,282,0
ORD-100049,2025-01-12 21:33:58.959306204,North,Standard Class,Electronics,Retail,17,784,Low,64.5,43.0,4.6,5.3,0.7,1,144.36,1938.19,534,0
ORD-100050,2025-01-13 03:23:39.346230820,North,Standard Class,Home & Kitchen,Retail,3,802,Medium,19.2,78.6,4.7,5.8,1.1,1,113.57,335.87,89,0
ORD-100051,2025-01-13 09:13:19.733155436,North,Standard Class,Electronics,Wholesale,18,590,Medium,36.3,57.3,4.5,5.7,1.2,1,138.35,1752.5,526,0
ORD-100052,2025-01-13 15:03:00.120080053,West,Standard Class,Sports,Retail,16,1249,Low,44.6,90.5,5.3,6.8,1.5,1,170.49,1945.5,169,0
ORD-100053,2025-01-13 20:52:40.507004669,East,Standard Class,Home & Kitchen,Wholesale,4,604,Low,69.4,42.6,4.6,4.9,0.3,1,132.99,391.22,405,0
ORD-100054,2025-01-14 02:42:20.893929286,East,Standard Class,Sports,Retail,15,101,Medium,78.3,62.1,3.6,4.5,0.9,1,90.37,635.32,164,0
ORD-100055,2025-01-14 08:32:01.280853902,West,First Class,Clothing,Wholesale,3,831,High,74.9,53.8,3.8,6.7,2.9,1,123.51,295.96,106,0
ORD-100056,2025-01-14 14:21:41.667778519,South,Same Day,Sports,Wholesale,12,319,Low,52.2,49.4,2.3,3.2,0.9,1,93.26,546.8,275,0
ORD-100057,2025-01-14 20:11:22.054703135,East,Standard Class,Electronics,Wholesale,19,545,Low,11.3,57.2,3.9,4.1,0.2,0,130.78,2394.84,234,0
ORD-100058,2025-01-15 02:01:02.441627751,North,Second Class,Electronics,Retail,5,763,Medium,62.0,93.3,4.2,5.8,1.6,1,116.5,505.06,309,0
ORD-100059,2025-01-15 07:50:42.828552368,North,First Class,Electronics,Wholesale,4,1090,Medium,81.5,67.3,4.2,5.6,1.4,1,148.19,383.85,149,0
ORD-100060,2025-01-15 13:40:23.215476984,East,Same Day,Sports,Corporate,9,431,High,77.2,52.3,2.9,5.9,3.0,1,105.02,497.07,587,0
ORD-100061,2025-01-15 19:30:03.602401601,South,Second Class,Clothing,Retail,8,583,Low,63.3,35.7,3.7,4.2,0.5,1,123.41,689.47,406,0
ORD-100062,2025-01-16 01:19:43.989326217,East,First Class,Electronics,Retail,1,120,Low,33.6,37.5,2.5,2.1,-0.4,0,54.66,71.14,505,0
ORD-100063,2025-01-16 07:09:24.376250833,West,Same Day,Home & Kitchen,Wholesale,10,588,Low,45.5,56.4,3.0,3.0,0.0,0,125.89,1009.26,470,0
ORD-100064,2025-01-16 12:59:04.763175450,East,First Class,Clothing,Retail,6,879,Low,89.8,54.9,3.9,4.8,0.9,1,136.57,580.88,437,0
ORD-100065,2025-01-16 18:48:45.150100066,East,Standard Class,Clothing,Wholesale,3,933,Medium,29.5,61.4,4.9,6.0,1.1,1,128.72,275.29,93,0
ORD-100066,2025-01-17 00:38:25.537024683,East,Standard Class,Clothing,Wholesale,6,454,Low,34.3,28.6,4.2,4.4,0.2,0,91.01,367.68,356,0
ORD-100067,2025-01-17 06:28:05.923949299,South,Standard Class,Electronics,Retail,1,110,Low,72.0,63.5,3.4,3.6,0.2,0,67.73,88.25,539,0
ORD-100068,2025-01-17 12:17:46.310873916,North,Standard Class,Sports,Retail,19,874,High,47.2,81.4,4.8,7.7,2.9,1,170.13,1524.58,66,0
ORD-100069,2025-01-17 18:07:26.697798532,South,Standard Class,Clothing,Retail,20,990,High,33.7,91.0,5.0,7.7,2.7,1,175.3,2347.11,283,0
ORD-100070,2025-01-17 23:57:07.084723148,North,Standard Class,Electronics,Retail,8,146,Medium,82.5,34.7,3.2,5.3,2.1,1,76.66,964.08,118,0
ORD-100071,2025-01-18 05:46:47.471647765,South,Second Class,Home & Kitchen,Corporate,18,767,High,63.3,52.2,4.3,6.5,2.2,1,155.08,1951.33,479,0
ORD-100072,2025-01-18 11:36:27.858572381,West,Second Class,Home & Kitchen,Retail,10,160,Low,48.1,51.3,3.1,3.5,0.4,1,81.74,658.46,559,0
ORD-100073,2025-01-18 17:26:08.245496998,North,First Class,Sports,Retail,19,690,Low,34.4,67.3,3.8,4.5,0.7,1,148.4,754.45,40,0
ORD-100074,2025-01-18 23:15:48.632421614,North,Standard Class,Home & Kitchen,Corporate,4,969,Low,91.9,45.5,5.1,6.1,1.0,1,132.49,520.7,482,0
ORD-100075,2025-01-19 05:05:29.019346230,South,Standard Class,Home & Kitchen,Retail,6,1085,High,54.6,91.9,5.1,8.2,3.1,1,159.16,808.0,222,0
ORD-100076,2025-01-19 10:55:09.406270847,South,First Class,Clothing,Corporate,15,1077,High,80.2,65.7,4.5,8.0,3.5,1,186.61,738.31,578,0
ORD-100077,2025-01-19 16:44:49.793195463,East,First Class,Sports,Retail,5,1142,Low,71.1,63.0,4.4,5.8,1.4,1,175.51,534.93,18,1
ORD-100078,2025-01-19 22:34:30.180120080,East,Same Day,Sports,Retail,17,377,Low,45.6,90.5,2.6,3.7,1.1,1,111.17,1292.92,122,0
ORD-100079,2025-01-20 04:24:10.567044696,West,First Class,Electronics,Retail,9,1273,Low,45.8,64.7,4.7,5.1,0.4,1,181.0,480.17,433,0
ORD-100080,2025-01-20 10:13:50.953969312,East,First Class,Electronics,Wholesale,9,537,Low,81.0,71.4,3.5,4.3,0.8,1,91.76,1184.49,469,0
ORD-100081,2025-01-20 16:03:31.340893929,South,Standard Class,Electronics,Wholesale,10,575,Medium,81.3,53.0,4.2,6.4,2.2,1,130.58,1253.82,56,0
ORD-100082,2025-01-20 21:53:11.727818545,West,Standard Class,Sports,Corporate,16,1186,Low,21.2,43.1,5.7,6.7,1.0,1,164.08,2089.15,104,0
ORD-100083,2025-01-21 03:42:52.114743162,North,Standard Class,Home & Kitchen,Corporate,1,504,Medium,64.9,55.2,4.5,6.2,1.7,1,76.52,63.79,209,0
ORD-100084,2025-01-21 09:32:32.501667778,North,Second Class,Home & Kitchen,Wholesale,16,130,Low,52.8,100.0,3.2,4.2,1.0,1,99.57,1311.63,30,1
ORD-100085,2025-01-21 15:22:12.888592394,North,Same Day,Clothing,Wholesale,16,1077,Low,36.4,75.1,4.1,4.4,0.3,1,166.66,1953.89,471,0
ORD-100086,2025-01-21 21:11:53.275517011,East,Standard Class,Electronics,Retail,17,1000,Low,59.7,69.4,4.7,6.2,1.5,1,163.96,1715.38,405,0
ORD-100087,2025-01-22 03:01:33.662441627,South,Second Class,Clothing,Corporate,20,881,High,30.7,49.4,4.1,6.9,2.8,1,161.75,1552.17,451,0
ORD-100088,2025-01-22 08:51:14.049366244,North,Standard Class,Clothing,Wholesale,16,232,Low,46.6,79.6,3.6,3.9,0.3,1,112.27,1352.34,287,0
ORD-100089,2025-01-22 14:40:54.436290860,South,Standard Class,Home & Kitchen,Corporate,11,955,Low,40.6,43.3,4.9,6.6,1.7,1,139.55,453.99,387,0
ORD-100090,2025-01-22 20:30:34.823215477,North,Standard Class,Home & Kitchen,Retail,10,313,Low,46.0,39.9,3.7,4.1,0.4,1,93.48,940.33,347,0
ORD-100091,2025-01-23 02:20:15.210140093,East,Standard Class,Home & Kitchen,Retail,8,842,High,53.7,56.1,4.4,6.4,2.0,1,130.07,958.64,419,0
ORD-100092,2025-01-23 08:09:55.597064709,South,Same Day,Home & Kitchen,Wholesale,17,772,Medium,36.7,96.3,3.5,5.2,1.7,1,160.76,622.67,275,0
ORD-100093,2025-01-23 13:59:35.983989326,South,Standard Class,Home & Kitchen,Retail,8,1164,Medium,83.3,95.4,5.7,7.9,2.2,1,175.71,436.49,394,0
ORD-100094,2025-01-23 19:49:16.370913942,South,First Class,Clothing,Retail,12,1466,Low,63.9,57.8,5.3,7.2,1.9,1,177.65,1054.49,390,0
ORD-100095,2025-01-24 01:38:56.757838559,East,Second Class,Electronics,Corporate,2,301,Medium,87.3,54.2,3.5,5.3,1.8,1,89.0,185.61,388,0
ORD-100096,2025-01-24 07:28:37.144763175,South,Standard Class,Electronics,Retail,7,189,Low,52.1,38.8,3.6,3.7,0.1,0,68.89,479.0,524,0
ORD-100097,2025-01-24 13:18:17.531687791,North,Standard Class,Clothing,Retail,6,843,Medium,45.1,66.2,4.6,6.7,2.1,1,131.1,251.21,216,0
ORD-100098,2025-01-24 19:07:57.918612408,North,First Class,Electronics,Retail,9,1429,Low,86.7,67.6,5.0,7.2,2.2,1,179.9,993.65,528,0
ORD-100099,2025-01-25 00:57:38.305537024,West,Standard Class,Electronics,Retail,11,254,Low,44.6,77.6,4.0,4.2,0.2,0,96.1,646.48,26,1
ORD-100100,2025-01-25 06:47:18.692461641,West,Same Day,Home & Kitchen,Wholesale,15,741,High,51.8,79.6,3.2,5.9,2.7,1,175.32,1465.75,296,0
ORD-100101,2025-01-25 12:36:59.079386257,East,Standard Class,Electronics,Corporate,9,623,High,68.0,61.8,4.3,7.2,2.9,1,121.94,811.76,270,0
ORD-100102,2025-01-25 18:26:39.466310873,North,Second Class,Home & Kitchen,Corporate,4,491,Low,32.7,73.9,3.9,4.3,0.4,1,85.94,318.45,522,0
ORD-100103,2025-01-26 00:16:19.853235490,West,First Class,Home & Kitchen,Wholesale,11,1003,Low,67.8,53.8,4.4,5.5,1.1,1,155.31,1031.94,36,0
ORD-100104,2025-01-26 06:06:00.240160106,West,Standard Class,Sports,Wholesale,2,457,Medium,65.5,73.6,3.9,5.5,1.6,1,69.48,215.77,137,0
ORD-100105,2025-01-26 11:55:40.627084723,East,Standard Class,Sports,Retail,17,750,High,77.8,56.9,4.5,7.1,2.6,1,171.37,1541.67,286,0
ORD-100106,2025-01-26 17:45:21.014009339,South,Same Day,Clothing,Corporate,16,1272,Medium,71.0,72.4,4.1,5.6,1.5,1,198.59,1445.6,491,0
ORD-100107,2025-01-26 23:35:01.400933956,South,Standard Class,Sports,Retail,5,582,Low,78.4,71.1,4.3,5.5,1.2,1,94.79,399.6,283,0
ORD-100108,2025-01-27 05:24:41.787858572,North,Standard Class,Electronics,Retail,6,51,Low,53.0,66.1,3.5,3.2,-0.3,0,49.7,456.65,386,0
ORD-100109,2025-01-27 11:14:22.174783188,West,Standard Class,Home & Kitchen,Corporate,1,1330,Medium,39.5,77.7,5.5,7.1,1.6,1,155.67,121.54,115,0
ORD-100110,2025-01-27 17:04:02.561707805,South,Standard Class,Clothing,Corporate,8,426,Medium,93.0,39.9,4.2,5.3,1.1,1,115.15,636.36,566,0
ORD-100111,2025-01-27 22:53:42.948632421,North,First Class,Electronics,Retail,1,1164,Medium,27.5,48.0,4.5,5.4,0.9,1,126.13,111.63,472,0
ORD-100112,2025-01-28 04:43:23.335557038,South,First Class,Sports,Wholesale,19,1149,Medium,29.3,60.7,4.9,6.6,1.7,1,200.84,1079.19,35,0
ORD-100113,2025-01-28 10:33:03.722481654,East,Standard Class,Sports,Retail,3,799,Low,65.2,41.9,4.7,5.6,0.9,1,117.74,335.55,425,0
ORD-100114,2025-01-28 16:22:44.109406271,North,First Class,Clothing,Retail,14,150,Low,84.2,58.5,2.7,3.4,0.7,1,84.49,671.33,86,0
ORD-100115,2025-01-28 22:12:24.496330887,West,Standard Class,Sports,Retail,12,1427,Medium,58.4,59.0,5.9,7.6,1.7,1,190.09,1498.74,340,0
ORD-100116,2025-01-29 04:02:04.883255503,East,Standard Class,Electronics,Retail,5,1028,Low,73.0,86.0,5.0,6.2,1.2,1,165.62,502.64,427,0
ORD-100117,2025-01-29 09:51:45.270180120,East,Second Class,Sports,Retail,17,648,Medium,19.1,67.3,3.7,5.0,1.3,1,121.61,693.41,556,0
ORD-100118,2025-01-29 15:41:25.657104736,South,Same Day,Electronics,Retail,3,1284,Medium,46.0,81.5,4.2,6.2,2.0,1,148.98,331.33,51,0
ORD-100119,2025-01-29 21:31:06.044029353,East,Standard Class,Electronics,Retail,18,1187,Medium,21.3,69.8,5.3,7.2,1.9,1,198.48,1283.8,179,0
ORD-100120,2025-01-30 03:20:46.430953969,East,Standard Class,Electronics,Retail,15,1146,Low,69.0,56.4,5.0,6.7,1.7,1,183.79,1884.29,417,0
ORD-100121,2025-01-30 09:10:26.817878585,East,Second Class,Clothing,Corporate,13,268,Medium,27.1,67.1,3.3,4.1,0.8,1,86.64,1619.09,164,0
ORD-100122,2025-01-30 15:00:07.204803202,North,First Class,Clothing,Wholesale,18,957,Low,32.0,76.7,3.8,4.0,0.2,0,180.36,2105.25,430,0
ORD-100123,2025-01-30 20:49:47.591727818,South,Standard Class,Clothing,Corporate,9,443,Low,64.3,84.1,3.9,4.5,0.6,1,116.82,813.8,118,0
ORD-100124,2025-01-31 02:39:27.978652435,North,Standard Class,Electronics,Retail,6,136,Low,74.1,62.9,3.5,4.1,0.6,1,75.63,738.01,106,0
ORD-100125,2025-01-31 08:29:08.365577051,South,Second Class,Electronics,Wholesale,4,520,Low,52.1,38.6,3.8,4.1,0.3,1,88.9,402.53,331,0
ORD-100126,2025-01-31 14:18:48.752501667,South,Standard Class,Clothing,Corporate,19,174,High,65.3,37.5,3.4,5.3,1.9,1,103.43,2249.83,416,0
ORD-100127,2025-01-31 20:08:29.139426284,North,Standard Class,Electronics,Retail,9,176,High,64.7,59.8,3.5,5.9,2.4,1,85.44,457.13,131,0
ORD-100128,2025-02-01 01:58:09.526350900,North,Standard Class,Sports,Retail,17,1096,Low,51.1,27.6,5.1,6.9,1.8,1,164.45,2088.13,525,0
ORD-100129,2025-02-01 07:47:49.913275517,East,Standard Class,Home & Kitchen,Retail,7,763,Medium,35.3,93.7,4.6,6.0,1.4,1,138.92,707.85,522,0
ORD-100130,2025-02-01 13:37:30.300200133,North,Standard Class,Clothing,Retail,20,609,Low,65.2,74.6,4.3,5.3,1.0,1,168.99,1294.49,57,0
ORD-100131,2025-02-01 19:27:10.687124749,West,First Class,Home & Kitchen,Retail,18,304,Medium,66.0,54.8,2.8,3.7,0.9,1,114.53,2345.38,189,0
ORD-100132,2025-02-02 01:16:51.074049366,East,Second Class,Electronics,Retail,7,1161,Medium,71.1,47.2,5.0,7.5,2.5,1,165.39,736.61,338,0
ORD-100133,2025-02-02 07:06:31.460973982,South,Second Class,Electronics,Retail,10,959,Low,60.6,81.4,4.6,6.1,1.5,1,165.02,1241.77,299,0
ORD-100134,2025-02-02 12:56:11.847898599,East,Same Day,Sports,Wholesale,16,887,Low,34.0,47.2,3.5,4.5,1.0,1,181.14,595.1,160,0
ORD-100135,2025-02-02 18:45:52.234823215,North,Standard Class,Home & Kitchen,Retail,5,301,Low,67.4,48.7,4.2,5.3,1.1,1,100.86,446.39,322,0
ORD-100136,2025-02-03 00:35:32.621747832,West,Standard Class,Home & Kitchen,Retail,1,202,Low,55.0,52.7,3.5,3.8,0.3,1,40.64,108.75,578,0
ORD-100137,2025-02-03 06:25:13.008672448,South,Same Day,Electronics,Wholesale,6,202,High,46.3,66.8,2.2,4.3,2.1,1,70.14,223.89,191,0
ORD-100138,2025-02-03 12:14:53.395597064,West,Standard Class,Home & Kitchen,Retail,12,57,Low,49.7,74.9,3.2,4.2,1.0,1,84.22,1291.03,139,0
ORD-100139,2025-02-03 18:04:33.782521681,North,Second Class,Clothing,Retail,3,1455,Low,42.6,84.1,5.3,6.9,1.6,1,165.96,334.31,445,0
ORD-100140,2025-02-03 23:54:14.169446297,South,First Class,Clothing,Retail,7,564,Low,71.0,81.7,3.5,3.8,0.3,1,131.75,444.64,346,0
ORD-100141,2025-02-04 05:43:54.556370914,South,Standard Class,Electronics,Retail,19,994,High,29.5,65.0,4.9,7.7,2.8,1,193.88,1938.37,418,0
ORD-100142,2025-02-04 11:33:34.943295530,West,Standard Class,Home & Kitchen,Retail,2,1474,Low,37.1,81.3,5.8,6.9,1.1,1,160.35,139.09,391,0
ORD-100143,2025-02-04 17:23:15.330220146,East,Standard Class,Electronics,Retail,2,1406,Medium,49.1,54.3,5.7,8.0,2.3,1,163.85,268.75,458,0
ORD-100144,2025-02-04 23:12:55.717144763,South,Standard Class,Home & Kitchen,Retail,9,494,Medium,84.0,35.9,3.9,5.6,1.7,1,102.38,1070.44,440,0
ORD-100145,2025-02-05 05:02:36.104069379,North,Standard Class,Sports,Corporate,1,745,Low,74.0,54.3,4.2,4.7,0.5,1,107.56,103.47,367,0
ORD-100146,2025-02-05 10:52:16.490993996,South,Standard Class,Sports,Corporate,1,705,Low,25.5,52.1,4.4,5.0,0.6,1,97.98,104.36,278,0
ORD-100147,2025-02-05 16:41:56.877918612,East,First Class,Sports,Retail,4,69,Low,79.3,54.9,2.7,3.4,0.7,1,72.63,294.85,281,0
ORD-100148,2025-02-05 22:31:37.264843228,South,Same Day,Home & Kitchen,Retail,3,1157,Low,79.3,49.7,4.0,5.6,1.6,1,140.3,238.13,166,0
ORD-100149,2025-02-06 04:21:17.651767845,North,First Class,Electronics,Retail,17,870,Medium,33.9,57.6,4.3,5.9,1.6,1,127.52,2030.83,274,0
ORD-100150,2025-02-06 10:10:58.038692461,West,Standard Class,Electronics,Corporate,3,570,Medium,10.0,74.9,4.4,5.9,1.5,1,73.5,208.99,366,0
ORD-100151,2025-02-06 16:00:38.425617078,West,Standard Class,Sports,Wholesale,11,846,Low,53.7,92.4,4.8,6.1,1.3,1,130.71,831.36,432,0
ORD-100152,2025-02-06 21:50:18.812541694,North,Standard Class,Clothing,Retail,15,1109,Low,75.2,37.4,5.6,6.9,1.3,1,170.92,985.65,466,0
ORD-100153,2025-02-07 03:39:59.199466311,East,Standard Class,Electronics,Retail,13,42,Low,83.6,44.4,3.3,4.3,1.0,1,85.95,1267.3,232,0
ORD-100154,2025-02-07 09:29:39.586390927,North,Same Day,Electronics,Retail,14,976,Low,39.3,52.3,3.7,5.3,1.6,1,147.52,1602.19,442,0
ORD-100155,2025-02-07 15:19:19.973315543,East,Standard Class,Clothing,Corporate,8,1295,Medium,86.5,77.3,5.6,8.4,2.8,1,162.52,443.75,267,0
ORD-100156,2025-02-07 21:09:00.360240160,South,Standard Class,Electronics,Corporate,18,1095,Medium,14.9,61.7,5.5,7.0,1.5,1,167.31,1098.46,221,0
ORD-100157,2025-02-08 02:58:40.747164776,East,First Class,Electronics,Retail,2,938,Medium,48.4,53.4,4.1,5.9,1.8,1,112.55,117.92,106,0
ORD-100158,2025-02-08 08:48:21.134089393,East,Standard Class,Home & Kitchen,Retail,3,154,Low,47.5,76.5,3.4,3.9,0.5,1,55.24,155.27,166,0
ORD-100159,2025-02-08 14:38:01.521014009,West,Standard Class,Clothing,Retail,18,1122,Low,75.7,80.3,5.3,6.8,1.5,1,180.89,1359.43,410,0
ORD-100160,2025-02-08 20:27:41.907938625,North,Standard Class,Home & Kitchen,Wholesale,2,1131,Low,78.4,64.7,5.1,7.3,2.2,1,154.21,251.35,137,0
ORD-100161,2025-02-09 02:17:22.294863242,West,Second Class,Home & Kitchen,Corporate,4,751,High,72.2,51.9,4.3,6.9,2.6,1,106.42,368.34,55,0
ORD-100162,2025-02-09 08:07:02.681787858,North,First Class,Electronics,Retail,4,882,Medium,30.7,69.3,4.1,6.0,1.9,1,120.16,186.7,170,0
